Rank of 3261,Local authority,Establishment,NO₂,Type,Phase
954,Brent,Barham Primary School,31.9,Community School,Primary
873,Brent,Southover Partnership School,31.4,Other Independent Special School,Not applicable
799,Brent,Kingsbury Green Primary School,31,Community School,Primary
775,Brent,JFS,30.9,Voluntary Aided School,Secondary
756,Brent,St Robert Southwell RC Primary School,30.8,Voluntary Aided School,Primary
715,Brent,Preston Park Primary School,30.6,Community School,Primary
714,Brent,Roe Green Junior School,30.6,Community School,Primary
713,Brent,Roe Green Infant School,30.6,Community School,Primary
686,Brent,Kingsbury High School,30.5,Academy Converter,Secondary
666,Brent,Sinai Jewish Primary School,30.4,Voluntary Aided School,Primary
617,Brent,Claremont High School,30.2,Academy Converter,Secondary
569,Brent,Byron Court Primary School,29.9,Community School,Primary
548,Brent,Mount Stewart Junior School,29.8,Community School,Primary
547,Brent,St Gregory RC High School,29.8,Voluntary Aided School,Secondary
522,Brent,Uxendon Manor Primary School,29.7,Community School,Primary
509,Brent,Mount Stewart Infant School,29.6,Community School,Primary
1945,Bromley,St Anthony's Roman Catholic Primary School,36.9,Voluntary Aided School,Primary
1931,Bromley,Harris Primary Academy Shortlands,36.8,Free Schools,Primary
1624,Bromley,Harris Primary Academy Kent House,35.1,Academy Sponsor Led,Primary
1571,Bromley,St John's Church of England Primary School,34.8,Academy Sponsor Led,Primary
1550,Bromley,Bromley Road Primary School,34.7,Community School,Primary
1514,Bromley,Kings London,34.5,Other Independent School,Not applicable
1449,Bromley,Valley Primary School,34.1,Academy Converter,Primary
1424,Bromley,Dorset Road Infant School,34,Community School,Primary
1385,Bromley,Bickley Park School,33.8,Other Independent School,Not applicable
1311,Bromley,Harris Primary Academy Crystal Palace,33.5,Academy Sponsor Led,Primary
1263,Bromley,Ashgrove School Ltd,33.3,Other Independent School,Not applicable
1239,Bromley,Mottingham Primary School,33.2,Academy Converter,Primary
1201,Bromley,Bishop Challoner School,33,Other Independent School,Not applicable
1200,Bromley,Bromley Trust Alternative Provision Academy,33,Academy Alternative Provision Sponsor Led,Not applicable
1158,Bromley,St Christophers The Hall School,32.8,Other Independent School,Not applicable
1067,Bromley,Alexandra Infant School,32.4,Academy Converter,Primary
1051,Bromley,The Ravensbourne School,32.3,Academy Converter,Secondary
1026,Bromley,Worsley Bridge Primary School,32.2,Community School,Primary
1025,Bromley,Worsley Bridge Primary School,32.2,Academy Sponsor Led,Primary
979,Bromley,James Dixon Primary School,32,Foundation School,Primary
978,Bromley,Harris Aspire Academy,32,Free Schools - Alternative Provision,Not applicable
977,Bromley,St Joseph's Catholic Primary School,32,Academy Converter,Primary
891,Bromley,"St George's, Bickley, Church of England Primary School",31.5,Voluntary Controlled School,Primary
836,Bromley,Stewart Fleming Primary School,31.2,Academy Converter,Primary
835,Bromley,St Vincent's Catholic Primary School,31.2,Academy Converter,Primary
816,Bromley,Farringtons School,31.1,Other Independent School,Not applicable
815,Bromley,Balgowan Primary School,31.1,Academy Converter,Primary
814,Bromley,Alexandra Junior School,31.1,Academy Converter,Primary
798,Bromley,Eltham College,31,Other Independent School,Not applicable
774,Bromley,Red Hill Primary School,30.9,Community School,Primary
773,Bromley,St David's College,30.9,Other Independent School,Not applicable
772,Bromley,Marian Vian Primary School,30.9,Academy Converter,Primary
755,Bromley,The Tutorial Foundation,30.8,Other Independent Special School,Not applicable
754,Bromley,Harris Academy Bromley,30.8,Academy Converter,Secondary
733,Bromley,Chislehurst Church of England Primary,30.7,Academy Converter,Primary
712,Bromley,Parish Church of England Primary School,30.6,Academy Converter,Primary
665,Bromley,Churchfields Primary School,30.4,Community School,Primary
664,Bromley,Breaside Preparatory School,30.4,Other Independent School,Not applicable
647,Bromley,Burnt Ash Primary School,30.3,Community School,Primary
646,Bromley,Clare House Primary School,30.3,Community School,Primary
645,Bromley,Gray's Farm Primary Academy,30.3,Academy Sponsor Led,Primary
599,Bromley,Raglan Primary School,30.1,Academy Converter,Primary
598,Bromley,Scotts Park Primary School,30.1,Academy Converter,Primary
597,Bromley,Harris Primary Academy Beckenham,30.1,Free Schools,Primary
568,Bromley,St Mary's Catholic Primary School,29.9,Academy Converter,Primary
567,Bromley,St Mark's Church of England Primary School,29.9,Academy Converter,Primary
508,Bromley,Bromley College of Further and Higher Education,29.6,Further Education,16 Plus
464,Bromley,Babington House School,29.4,Other Independent School,Not applicable
448,Bromley,Harris Academy Beckenham,29.3,Academy Sponsor Led,Secondary
431,Bromley,Castlecombe Primary School,29.2,Academy Converter,Primary
414,Bromley,Kemnal Technology College,29.1,Academy Converter,Secondary
413,Bromley,St James' Roman Catholic Primary School,29.1,Academy Converter,Primary
398,Bromley,Bickley Primary School,29,Community School,Primary
397,Bromley,Bullers Wood School,29,Academy Converter,Secondary
396,Bromley,Crofton Infant School,29,Academy Converter,Primary
378,Bromley,Unicorn Primary School,28.9,Academy Converter,Primary
364,Bromley,Darul Uloom London,28.8,Other Independent School,Not applicable
363,Bromley,Highfield Infants' School,28.8,Academy Converter,Primary
362,Bromley,Highfield Junior School,28.8,Academy Converter,Primary
361,Bromley,Oak Lodge Primary School,28.8,Academy Converter,Primary
335,Bromley,Bishop Justus CofE School,28.6,Academy Converter,Secondary
334,Bromley,Langley Park School for Boys,28.6,Academy Converter,Secondary
333,Bromley,Mead Road Infant School,28.6,Academy Sponsor Led,Primary
320,Bromley,Southborough Primary School,28.4,Community School,Primary
304,Bromley,Hayes School,28.3,Academy Converter,Secondary
303,Bromley,Pickhurst Infant School,28.3,Academy Converter,Primary
302,Bromley,Pickhurst Junior School,28.3,Academy Converter,Primary
301,Bromley,Clannad Education Centre,28.3,Other Independent Special School,Not applicable
284,Bromley,Nash College,28.2,Special Post 16 Institution,16 Plus
283,Bromley,TLC The Learning Centre,28.2,Other Independent Special School,Not applicable
282,Bromley,Baston House School,28.2,Other Independent Special School,Not applicable
268,Bromley,Edgebury Primary School,28.1,Community School,Primary
267,Bromley,Bromley High School,28.1,Other Independent School,Not applicable
266,Bromley,Perry Hall Primary School,28.1,Academy Converter,Primary
238,Bromley,Langley Park School for Girls,27.8,Academy Converter,Secondary
227,Bromley,Leesons Primary School,27.7,Academy Converter,Primary
221,Bromley,Marjorie McClure School,27.6,Community Special School,Not applicable
220,Bromley,Glebe School,27.6,Foundation Special School,Not applicable
219,Bromley,Coopers School,27.6,Academy Converter,Secondary
210,Bromley,Chislehurst School for Girls,27.5,Academy Converter,Secondary
209,Bromley,Crofton Junior School,27.5,Academy Converter,Primary
200,Bromley,Hawes Down Infant School,27.4,Academy Converter,Primary
199,Bromley,Hawes Down Junior School,27.4,Academy Converter,Primary
171,Bromley,Hayes Primary School,26.9,Academy Converter,Primary
170,Bromley,La Fontaine Academy,26.9,Free Schools,Primary
157,Bromley,Princes Plain Primary School,26.7,Academy Sponsor Led,Primary
151,Bromley,Midfield Primary School,26.6,Academy Converter,Primary
139,Bromley,Riverside School,26.5,Community Special School,Not applicable
138,Bromley,St Peter and St Paul Catholic Primary School,26.5,Academy Converter,Primary
130,Bromley,Poverest Primary School,26.4,Community School,Primary
129,Bromley,Wickham Court School,26.4,Other Independent School,Not applicable
128,Bromley,Green Street Green Primary School,26.4,Academy Converter,Primary
127,Bromley,St. Mary Cray Primary Academy,26.4,Academy Sponsor Led,Primary
120,Bromley,Wickham Common Primary School,26.3,Academy Converter,Primary
109,Bromley,Darrick Wood Junior School,26.1,Community School,Primary
108,Bromley,Darrick Wood School,26.1,Academy Converter,Secondary
107,Bromley,Ravens Wood School,26.1,Academy Converter,Secondary
106,Bromley,Darrick Wood Infant School,26.1,Academy Converter,Primary
99,Bromley,Warren Road Primary School,25.9,Academy Converter,Primary
98,Bromley,St Philomena's Primary School,25.9,Academy Converter,Primary
97,Bromley,Holy Innocents Catholic Primary School,25.9,Academy Converter,Primary
88,Bromley,St Paul's Cray Church of England Primary School,25.8,Voluntary Controlled School,Primary
87,Bromley,Tubbenden Primary School,25.7,Academy Converter,Primary
75,Bromley,Keston Church of England Primary School,25.4,Academy Converter,Primary
63,Bromley,Hillside Primary School,25.2,Academy Sponsor Led,Primary
62,Bromley,Manor Oak Primary School,25.2,Academy Converter,Primary
56,Bromley,The Priory School,25.1,Academy Converter,Secondary
51,Bromley,Farnborough Primary School,24.9,Academy Converter,Primary
48,Bromley,St Olave's and St Saviour's Grammar School,24.8,Voluntary Aided School,Secondary
47,Bromley,Newstead Wood School,24.8,Academy Converter,Secondary
46,Bromley,Cudham Church of England Primary School,24.8,Academy Converter,Primary
40,Bromley,The Highway Primary School,24.7,Community School,Primary
39,Bromley,Charles Darwin School,24.7,Academy Converter,Secondary
38,Bromley,Oakview School,24.7,Other Independent Special School,Not applicable
35,Bromley,Blenheim Primary School,24.6,Community School,Primary
28,Bromley,Burwood School,24.4,Community Special School,Not applicable
27,Bromley,Burwood School,24.4,Academy Special Sponsor Led,Not applicable
24,Bromley,Biggin Hill Primary School,24.1,Academy Converter,Primary
23,Bromley,Chelsfield Primary School,23.9,Community School,Primary
15,Bromley,Downe Primary School,23.5,Community School,Primary
7,Bromley,Pratts Bottom Primary School,23,Community School,Primary
4,Bromley,Browns School,22.8,Other Independent Special School,Not applicable
3,Bromley,Oaklands Primary Academy,22.8,Academy Converter,Primary
3256,Camden,CATS College London,66.90,Other Independent School,Not applicable
3238,Camden,Conservatoire for Dance and Drama,61.00,Higher Education Institutions,Not applicable
3231,Camden,City Lit,59.90,Further Education,16 Plus
3228,Camden,University of the Arts London,59.00,Higher Education Institutions,Not applicable
3226,Camden,Argyle Primary School,58.80,Community School,Primary
3225,Camden,Christopher Hatton Primary School,58.40,Community School,Primary
3224,Camden,St Josephs Primary School,58.10,Voluntary Aided School,Primary
3214,Camden,Central School of Speech and Drama,56.50,Higher Education Institutions,Not applicable
3211,Camden,University College London,55.9,Higher Education Institutions,Not applicable
3202,Camden,Ecole Jeannine Manuel,55.2,Other Independent School,Not applicable
3200,Camden,The Phoenix School,55.1,Other Independent School,Not applicable
3199,Camden,The Abbey College In London,55,Other Independent School,Not applicable
3186,Camden,Institute of Education,53.9,Higher Education Institutions,Not applicable
3181,Camden,"Holy Trinity CofE Primary School, NW3",53.3,Voluntary Aided School,Primary
3178,Camden,South Hampstead High School,53.1,Other Independent School,Not applicable
3168,Camden,Hawley Infant School,52.2,Community School,Primary
3167,Camden,London School of Hygiene & Tropical Medicine,52.2,Higher Education Institutions,Not applicable
3153,Camden,Westminster Kingsway College,51.5,Further Education,16 Plus
3150,Camden,The Mary Ward Centre (AE Centre),51.3,Further Education,16 Plus
3145,Camden,Richard Cobden Primary School,50.9,Community School,Primary
3141,Camden,St Alban's Church of England Primary School,50.6,Voluntary Aided School,Primary
3139,Camden,The Working Men's College,50.5,Further Education,16 Plus
3138,Camden,University of London,50.4,Higher Education Institutions,Not applicable
3137,Camden,The UCL Academy,50.4,Academy Sponsor Led,Secondary
3113,Camden,Birkbeck College,49.5,Higher Education Institutions,Not applicable
3112,Camden,North Bridge House Prep School,49.5,Other Independent School,Not applicable
3098,Camden,Netley Primary School,48.9,Community School,Primary
3091,Camden,School of Oriental and African Studies,48.8,Higher Education Institutions,Not applicable
3054,Camden,St Michael's Church of England Primary School,47.7,Voluntary Aided School,Primary
3046,Camden,Our Lady Roman Catholic Primary School,47.5,Voluntary Aided School,Primary
3032,Camden,Camden Primary Pupil Referral Unit,47.2,Pupil Referral Unit,Not applicable
3023,Camden,Fleet Primary School,47,Community School,Primary
2995,Camden,North Bridge House School,46.5,Other Independent School,Not applicable
2993,Camden,St George the Martyr Church of England Primary School,46.4,Voluntary Aided School,Primary
2977,Camden,Wac Arts College,46,Free Schools - Alternative Provision,Not applicable
2974,Camden,St Dominic Catholic Primary School,45.9,Voluntary Aided School,Primary
2967,Camden,The Royal Veterinary College,45.8,Higher Education Institutions,Not applicable
2960,Camden,CCfL Key Stage 4 PRU,45.6,Pupil Referral Unit,Not applicable
2958,Camden,Regent High School,45.5,Community School,Secondary
2949,Camden,Children's Hospital School at Gt Ormond Street and UCH,45.2,Foundation Special School,Not applicable
2925,Camden,Kentish Town Church of England Primary School,45,Voluntary Aided School,Primary
2918,Camden,St Aloysius Roman Catholic Junior School,44.9,Voluntary Aided School,Primary
2917,Camden,Haverstock School,44.9,Community School,Secondary
2907,Camden,St Aloysius Roman Catholic Infant School,44.8,Voluntary Aided School,Primary
2896,Camden,The Camden School for Girls,44.6,Voluntary Aided School,Secondary
2889,Camden,Christ Church School,44.5,Voluntary Aided School,Primary
2888,Camden,Rosary Roman Catholic Primary School,44.5,Voluntary Aided School,Primary
2887,Camden,Royal Free Hospital Children's School,44.5,Community Special School,Not applicable
